year,section,file,ext,bytes,sha256
2024,UNKNOWN,First_Year_Class_2024.xlsx,.xlsx,49394,fd9e8210390c5f291c9c71eeebda32f70d2d47fdc2fa68db0256b442558a0469
2024,UNKNOWN,The_Basics_Academic_Calendar_2024.xlsx,.xlsx,19956,2730263dcc31d1c5e17ea0e3148c6075196f345313c5320f13dc1c6a2561d64d
2024,bar_passage,First_Time_Bar_Passage_2024.xlsx,.xlsx,48385,4ee9553e7365ac61d79a39905ea27d4f1f05e9ab3d1576922ee0b946a28ddef5
2024,bar_passage,TwoYear_Ultimate_Bar_Passage_2024.xlsx,.xlsx,17752,4bb5d51be01fa8d0fd04ac2ecda561e10132996843bc1e4528424d33180d65a7
2024,employment,Employment_Summary_2024.xlsx,.xlsx,118471,61fbb15958b93654ee800090260244c92c21f001299a2f66d7993c3f5797dc7d
2024,enrollment,JD_Enrollment_and_Ethnicity_2024.xlsx,.xlsx,185652,da6608cc5791ab6a899134ab23663f1d157efd5196a4b623a164067efe1562e1
2024,faculty,Faculty_Resources_2024.xlsx,.xlsx,27408,eaafbe8ba403cbc269f416c1bba230dceb1b5f9317b0db9cc6ed679ca6dd8b09
2024,grants,Grants_and_Scholarships_2024.xlsx,.xlsx,44995,db3c97c2361c30bfad9d2ab13cd1f8e723c1a4fb232b11dfad4981e2e6e015df
2024,transfers,Transfers_2024.xlsx,.xlsx,14584,c775a7a13295e5312277ffe16824e10e06cdb7ab3563d81fd37349dfefebd238
2024,tuition,Tuitions_and_Fees_Living_Expenses_Cond._Scholarships_2024.xlsx,.xlsx,36976,114e9327e3694ce12a7ad2d76a843d95b243e7c8f7a632e434c4a22da32710c9
2025,UNKNOWN,First_Year_Class_2025.xlsx,.xlsx,48964,828f37f675b43542e0eddcac324eaa154730e04bce2c60a60473b6ff419dfb1c
2025,UNKNOWN,The_Basics_Academic_Calendar_2025.xlsx,.xlsx,20120,d2594f6eb7cb95faaa1305781e33d68989ad7efa098b61beb1ddc1731b50fc60
2025,admissions,First_Time_Bar_Admission_2025.xlsx,.xlsx,49149,e8e3085e221bbce37b0136c9c65b82caeb129e6ee4deea553c7899ca2bde8828
2025,admissions,TwoYear_Ultimate_Bar_Admission_2025.xlsx,.xlsx,17680,73d735dcda6ffc27b8ee6807cf6bb9b4bafe274e97bfd1afa4bd3ce14fca904d
2025,attrition,Attrition_2025.xlsx,.xlsx,247032,00a6bf83cdcd4159565baa01fa21c40d94c1f694e0564c73b9a4b4ce9cf1cf79
2025,curriculum,Curricular_Offerings_2025.xlsx,.xlsx,27369,7b14f77ab4b7a9862f86eba6ba4d440abcbfa5b61c8dfa57f6e459697d968483
2025,employment,Employment_Summary_20251.xlsx,.xlsx,116043,f24b9d21103218d0ef5359c62b07999b69ac1737b519f9e6213fd8909fba9120
2025,enrollment,JD_Enrollment_and_Ethnicity_2025.xlsx,.xlsx,173395,117cf9e1e5f59d3ecacff36d1759760a81be1db5e7ff73f6cf15088a736aa8ce
2025,faculty,Faculty_Resources_2025.xlsx,.xlsx,27413,e7767e19e2820d063c4f6aeb0fca7c52f46c0c12779a21d145f0280bf8860889
2025,grants,Grants_and_Scholarships_2025.xlsx,.xlsx,45228,12453bb834ccf960cf88350286510ee96006feefbde75729c911e8d91d3f2343
2025,transfers,Transfers_2025.xlsx,.xlsx,14544,6551f7e613dbb6a244c243810755e803a123b65fac7bba2a05d26c019cd735c5
2025,tuition,Tuitions_and_Fees_Living_Expenses_Cond._Scholarships_2025.xlsx,.xlsx,37907,70e0f52a977013960b1486d9712e49c43b6d3e9d4e43936e5c677592b2a02d29
